slug,name,gecko_id,latest_outstanding_loans,selected
metalend,MetaLend,,17524.0,no
pike-v2,Pike V2,pike-finance,17199.0,no
lendexe-finance,LendeXe Finance,lendexe,17196.0,no
hover,Hover,hover,16977.0,no
coslend,Coslend,,16951.0,no
lendle-isolated-markets,Lendle Isolated Markets,lendle,16804.0,no
morpho-v0-aavev2,Morpho V0 AaveV2,morpho,16157.0,no
loanshark-core,Loanshark Core,,15370.0,no
lander,Lander,,15330.0,no
meridian-lend,Meridian Lend,meridian-mst,14992.0,no
lumen-money,Lumen Money,,14784.0,no
ultraswap,Ultraswap,,14457.0,no
basilisk,Basilisk,,14343.0,no
molend,Molend,,14268.0,no
betterlend,BetterLend,,14021.0,no
voltage-lending,Voltage Lending,fusefi,13699.0,no
hakura-protocol,Hakura Protocol,,12886.0,no
netweave-lending,NetWeave Lending,,12666.0,no
yupana,Yupana,,11277.0,no
elara,Elara,,10889.0,no
agave,Agave,agave-token,10682.0,no
beta-finance-v2,Beta Finance V2,beta-finance,10124.0,no
aqualoan,AquaLoan,,9356.0,no
torches,Torches,,9210.0,no
pinjam-labs,Pinjam Labs,pinjam-kava,9210.0,no
market,Market,,8755.0,no
lodestar-v1,Lodestar V1,lodestar,8280.0,no
surge,Surge,,7943.0,no
fmoney,fMoney,fantom-money-market,7853.0,no
chedda-finance,Chedda Finance,,6980.0,no
shroomy-protocol-lending,Shroomy Protocol Lending,shroomy,6885.0,no
votre,Votre,,6690.0,no
shoebill-v1,Shoebill V1,,6674.0,no
cygnusdao,CygnusDAO,cygnusdao,6397.0,no
yusan,Yusan,,6011.0,no
246club,246Club,,5515.0,no
bitlen-finance,Bitlen Finance,,5496.0,no
enzo-finance,ENZO Finance,,5051.0,no
nexion-lending,Nexion Lending,nexion,4799.0,no
sculptor-finance,Sculptor Finance,,4713.0,no
zarban,Zarban,,4520.0,no
huckleberry-lending,Huckleberry Lending,huckleberry,4283.0,no
rocifi-v2,RociFi V2,,4225.0,no
roe-finance,Roe Finance,,3898.0,no
morpho-v0-compoundv2,Morpho V0 CompoundV2,morpho,3703.0,no
multiplier,Multiplier,multiplier,3643.0,no
edge-protocol,Edge Protocol,,3597.0,no
solidlizard-lending,SolidLizard Lending,solidlizard,3582.0,no
lendos,lendOS,,3362.0,no
lodestar-v0,Lodestar V0,lodestar,2931.0,no
u235,U235,,2642.0,no
usdfi-lending,USDFI Lending,,2450.0,no
mooncake-finance,Mooncake Finance,,2272.0,no
nxfi-protocol,NxFi Protocol,,2268.0,no
palmy-finance,Palmy Finance,,2156.0,no
yieldlend,YieldLend,,1992.0,no
pike-v1,Pike V1,pike-finance,1984.0,no
weft-v1,Weft V1,weft-finance,1787.0,no
glyph,Glyph,,1709.0,no
ilend-v1,iLend V1,,1548.0,no
morpho-v0-aavev3,Morpho V0 AaveV3,morpho,1349.0,no
vmex-finance,VMEX Finance,vmex,1279.0,no
kokomo-finance,Kokomo Finance,,1006.0,no
tezfin,TezFin,,956.0,no
grace,Grace,,924.0,no
ilend-v2,iLend V2,,916.0,no
hashstack,Hashstack,,883.0,no
mage-finance,Mage Finance,,747.0,no
algofi-lend,Algofi Lend,,660.0,no
seismic,Seismic,,523.0,no
fuji-v2,Fuji V2,,512.0,no
fringe-v1,Fringe V1,fringe-finance,492.0,no
trustin-finance,Trustin Finance,,404.0,no
bencufi,BencuFi,,348.0,no
0xlend,0xLend,,342.0,no
kilolend,KiloLend,,332.0,no
elys-earn,Elys Earn,,326.0,no
tashi,Tashi,tashi,317.0,no
nyke-finance,Nyke Finance,,278.0,no
unlockd-v2,Unlockd V2,,262.0,no
monolend,MonoLend,monolend,250.0,no
lendlord,LendLord,,246.0,no
friendly-market,Friendly Market,,218.0,no
zoro-protocol,Zoro Protocol,,212.0,no
nebula-lending,Nebula Lending,,208.0,no
commodo,Commodo,,155.0,no
stackfi,StackFi,,154.0,no
avalon-usdalend,Avalon USDaLend,,121.0,no
ajna-v1,Ajna V1,ajna-protocol,116.0,no
joltify-lend,Joltify Lend,joltify,104.0,no
haven1-hlend,Haven1 hLend,,99.0,no
bitfire,BitFire,,76.0,no
liqee,Liqee,,58.0,no
quokkalend,QuokkaLend,,33.0,no
jolt,Jolt,,30.0,no
floe-labs,Floe Labs,,30.0,no
dforce-lending,dForce Lending,dforce-token,26.0,no
aimstrong,AImstrong,,26.0,no
novation,Novation,,24.0,no
ionise,Ionise,,22.0,no
nearlend-dao,Nearlend DAO,nearlend-dao,18.0,no
l2finance,L2FINANCE,,12.0,no
qielend,QIELend,,10.0,no
unlockd-v1,Unlockd V1,,10.0,no
dahlia,Dahlia,,10.0,no
kawa-finance,Kawa Finance,,10.0,no
tropykus-zkevm,Tropykus zkEVM,,10.0,no
brainiac-finance,Brainiac Finance,,8.0,no
pholend,PhoLend,,2.0,no
hyperloan,HyperLoan,,2.0,no
ionic-protocol,Ionic Protocol,ionic-protocol,0.0,no
scream,Scream,scream,0.0,no
