slug,name,gecko_id,latest_outstanding_loans,selected
ram-protocol,Ram Protocol,,0.0,no
zkfinance,zkFinance,,0.0,no
euler-v1,Euler V1,,0.0,no
sirio-finance,Sirio Finance,,0.0,no
bnpl-pay,BNPL Pay,bnpl-pay,0.0,no
cashcow-finance,CashCow Finance,cashcow-finance,0.0,no
tonpound,Tonpound,,0.0,no
channels-finance,Channels Finance,channels,0.0,no
vee-finance,Vee Finance,vee-finance,0.0,no
ocp-finance,OCP Finance,omni-consumer-protocol,0.0,no
blume,Blume,,0.0,no
chee-finance,Chee Finance,,0.0,no
blend-finance,Blend Finance,,0.0,no
hector-lending,Hector Lending,,0.0,no
agora,Agora,agora-defi,0.0,no
strike,Strike,strike,0.0,no
renec-lend,Renec Lend,,0.0,no
smardex-p2p-lending,SMARDEX P2P Lending,,0.0,no
annex,Annex,annex,0.0,no
mantra-dao,MANTRA DAO,mantra-dao,0.0,no
quickswap-lend,Quickswap Lend,,0.0,no
klend,KLend,klend,0.0,no
fortress-loans,Fortress Loans,fortress,0.0,no
unfederalreserve,unFederalReserve,unfederalreserve,0.0,no
metapoly,Metapoly,,0.0,no
evolve,Evolve,,0.0,no
bao-markets,BAO Markets,,0.0,no
lava,Lava,,0.0,no
spiritswap-lending,SpiritSwap Lending,,0.0,no
augmented-finance,Augmented Finance,augmented-finance,0.0,no
evoq-finance,Evoq Finance,,0.0,no
jax-finance,Jax Finance,,0.0,no
klap,Klap,klap-finance,0.0,no
polylend,PolyLend,,0.0,no
owna,Owna,,0.0,no
bodh-finance,Bodh Finance,,0.0,no
goledo,Goledo,goledo-2,0.0,no
eden-finance,Eden Finance,,0.0,no
magsinio,Magsinio,,0.0,no
flux-protocol,Flux Protocol,flux-protocol,0.0,no
dorian,Dorian,,0.0,no
glori-finance,Glori Finance,,0.0,no
wise-lending-v2,Wise Lending V2,,0.0,no
omni-protocol,Omni Protocol,,0.0,no
onyx-v2,Onyx V2,,0.0,no
avolend,AvoLend,avolend,0.0,no
ecodefi,EcoDeFi,esg,0.0,no
unilend-v2,Unilend V2,,0.0,no
antihero-finance,AntiHero Finance,,0.0,no
fusefi-lending,Fusefi Lending,,0.0,no
snail-finance,Snail Finance,,0.0,no
lnd,LND,,0.0,no
rikkei-finance,Rikkei Finance,rikkei-finance,0.0,no
ssap,SSAP,,0.0,no
usury-finance,Usury Finance,,0.0,no
tempest-capital,Tempest Capital,tempest,0.0,no
betterbank,BetterBank,,0.0,no
pu239,Pu239,,0.0,no
xbank-finance,xBank Finance,,0.0,no
swirllend,SwirlLend,,0.0,no
paperdao,PaperDAO,,0.0,no
mare-finance-v2,Mare Finance V2,,0.0,no
milkyway-protocol-milkomeda,MilkyWay Protocol Milkomeda,,0.0,no
